IP Address, MAC Address, Latitude, Longitude, Description
10.30.10.93,  9CB6541B187B, , , West C
10.30.10.113, 480FCFC88A23, , , Snell 1 - lobby 4
10.30.10.112, 308D99ABCF91, , , Snell 1 lobby 3
10.30.10.107, 480FCFC87A4C, , , Snell 1 lobby 2
10.30.10.116, 480FCFC87ADD, , , Snell 1 lobby 1
10.30.10.123, A08CFD65B90C, , , Snell 1 center 1
10.30.10.126, A08CFD65B91F, , , Snell 1 center 2
10.30.10.244, 009C02022998, , , Snell 2 window
10.30.10.51, A0D3C1EA93F0, , , Snell 2 color back 1
10.30.10.52, A0D3C1EA931D, , , Snell 2 color back 2
10.30.10.91, 2C44FD01A57A, , , Snell 2 bw right
10.30.10.54, 9CB6541BA7E6, , , Stetson West 1
10.30.10.32, EC9A74354841, , , Stetson West 2
10.30.10.46, EC9A7431CD91, , , Stetson East
10.30.10.94, F0921C5FCD48, , , Speare 1
10.30.10.117, EC9A7435483E, , , Speare 2
10.30.10.57, C4346B16BC9D, , , Marino
10.30.10.64, 40A8F0B9FE10, , , Willis
10.30.10.47, EC9A7432B21E, , , West H
